Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Chris Boucher\bouchch01,PF,29,TOR,72,1519,18.3,0.578,0.39,0.339,10.8,21.7,16,1.9,1.5,4.4,6.1,17.6,,3.3,2.1,5.5,0.173,,0.5,-0.4,0.1,0.8
James Bouknight\bouknja01,SG,21,CHO,28,296,10.6,0.468,0.36,0.228,7.3,9.8,8.5,10.9,1.1,0.3,8,23.3,,0,0.1,0.1,0.014,,-3,-3.6,-6.7,-0.4
Avery Bradley\bradlav01,SG,31,LAL,58,1310,7.8,0.541,0.601,0.054,2.5,8.1,5.3,4.6,1.8,0.6,9.8,12.4,,0.2,0.9,1.1,0.039,,-3.6,-0.1,-3.7,-0.6
Tony Bradley\bradlto01,C,24,CHI,51,523,14.4,0.594,0,0.225,13,24.2,18.6,6.7,0.9,5.3,19.7,12.8,,0.6,0.7,1.2,0.114,,-2.1,0.5,-1.6,0.1
Ignas Brazdeikis\brazdig01,SF,23,ORL,35,344,8.5,0.485,0.464,0.155,4,9.5,6.8,11.8,1.1,0.5,8.6,16.2,,0,0.2,0.2,0.026,,-3.8,-1.2,-5,-0.3
Mikal Bridges\bridgmi01,SF,25,PHO,74,2621,14.6,0.628,0.376,0.18,3,9.9,6.5,8.8,1.6,1.1,6.4,14.8,,5.1,3.4,8.4,0.154,,0.7,1.1,1.7,2.5
Miles Bridges\bridgmi02,PF,23,CHO,72,2583,17.8,0.59,0.387,0.274,3.3,17.6,10.3,16.2,1.3,2.3,10.2,22.3,,4.5,2.1,6.6,0.123,,1.8,-0.2,1.6,2.3
Oshae Brissett\brissos01,SF,23,IND,62,1401,12.5,0.521,0.46,0.32,7.7,17.7,12.6,5.7,1.4,1.8,8.4,16.8,,1.1,0.9,2,0.068,,-0.8,-1.5,-2.3,-0.1
Malcolm Brogdon\brogdma01,PG,29,IND,36,1206,18.3,0.557,0.343,0.308,3,14.1,8.5,27.2,1.2,1,11.1,24.7,,2.3,0.5,2.8,0.113,,2.9,-0.5,2.3,1.3
Armoni Brooks\brookar01,SG-PG,23,TOT,50,802,8.9,0.489,0.858,0.068,2.5,10.5,6.5,10.6,1.6,1.3,8.2,16.7,,-0.1,0.3,0.3,0.015,,-2.3,-1.4,-3.6,-0.3
Armoni Brooks\brookar01,SG,23,HOU,41,690,8.5,0.49,0.849,0.076,1.9,11,6.5,10.4,1.5,1,8.1,17.4,,-0.2,0.2,0,0.002,,-2.5,-1.9,-4.4,-0.4
Armoni Brooks\brookar01,PG,23,TOR,9,112,11.2,0.483,0.933,0,6.4,7.2,6.8,11.9,2.7,2.6,9.1,12.6,,0.1,0.1,0.2,0.095,,-0.7,1.7,1,0.1
